Structure,Co,Fe,Ni,Temperature,a1,a2,a3,a,c,Orientation_x,Orientation_y,Orientation_z,NonConventional
FCC,0.12,0.38,0.5,550,1.7827653858153,1.7827653858153,1.7827653858153,1.7827653858153,1.7827653858153,1 1 0,-1 1 0,0 0 1,True
FCC,0.5,0.5,0.0,550,,,,,,,,,False
FCC,0.5,0.5,0.0,100,,,,,,,,,False
DHCP,0.5,0.0,0.5,350,,,,,,,,,False
DHCP,0.62,0.12,0.25,350,1.23856492592355,1.07262869008613,4.04515304806661,1.15559680800484,4.04515304806661,1 1 0,-1 1 0,0 0 1,True
DHCP,0.25,0.0,0.75,550,,,,,,,,,False
DHCP,0.25,0.0,0.75,100,,,,,,,,,False
FCC,0.25,0.5,0.25,350,1.7835925501542,1.7835925501542,1.7835925501542,1.7835925501542,1.7835925501542,1 1 0,-1 1 0,0 0 1,True
HCP,0.25,0.75,0.0,550,,,,,,,,,False
HCP,0.25,0.75,0.0,100,,,,,,,,,False
HCP,0.0,0.25,0.75,350,,,,,,,,,False
HCP,0.0,1.0,0.0,350,,,,,,,,,False
DHCP,0.0,0.75,0.25,350,,,,,,,,,False
FCC,0.0,0.25,0.75,100,,,,,,,,,False
FCC,0.0,0.25,0.75,550,,,,,,,,,False
DHCP,0.25,0.25,0.5,550,1.24604145705347,1.07910355597688,4.06957139873645,1.162572506515175,4.06957139873645,1 1 0,-1 1 0,0 0 1,True
DHCP,0.25,0.25,0.5,100,1.23967652233532,1.07359136081746,4.04878352194704,1.15663394157639,4.04878352194704,1 1 0,-1 1 0,0 0 1,True
FCC,0.25,0.75,0.0,350,,,,,,,,,False
HCP,0.0,0.0,1.0,550,,,,,,,,,False
HCP,0.0,0.0,1.0,100,,,,,,,,,False
HCP,0.5,0.5,0.0,350,,,,,,,,,False
HCP,0.25,0.5,0.25,550,1.26719360465576,1.09742185314507,2.06932715640279,1.182307728900415,2.06932715640279,1 1 0,-1 1 0,0 0 1,True
HCP,0.25,0.5,0.25,100,1.25977652509863,1.09099847382672,2.05721506548601,1.175387499462675,2.05721506548601,1 1 0,-1 1 0,0 0 1,True
HCP,0.12,0.38,0.5,350,1.26059139533759,1.09170417215437,2.0585457485862,1.17614778374598,2.0585457485862,1 1 0,-1 1 0,0 0 1,True
HCP,1.0,0.0,0.0,350,,,,,,,,,False
FCC,0.12,0.62,0.25,100,1.77910483244515,1.77910483244515,1.77910483244515,1.77910483244515,1.77910483244515,1 1 0,-1 1 0,0 0 1,True
FCC,0.12,0.62,0.25,550,1.79011169125854,1.79011169125854,1.79011169125854,1.79011169125854,1.79011169125854,1 1 0,-1 1 0,0 0 1,True
HCP,0.5,0.25,0.25,550,1.26909957302265,1.09907247016958,2.07243960274595,1.1840860215961149,2.07243960274595,1 1 0,-1 1 0,0 0 1,True
HCP,0.5,0.25,0.25,100,1.25793802368242,1.08940628489538,2.05421279267342,1.1736721542889001,2.05421279267342,1 1 0,-1 1 0,0 0 1,True
DHCP,0.38,0.12,0.5,350,1.24292717326659,1.07640650710284,4.05940014788852,1.159666840184715,4.05940014788852,1 1 0,-1 1 0,0 0 1,True
FCC,0.38,0.38,0.25,350,1.78233435515274,1.78233435515274,1.78233435515274,1.78233435515274,1.78233435515274,1 1 0,-1 1 0,0 0 1,True
FCC,0.0,0.5,0.5,350,,,,,,,,,False
DHCP,0.75,0.0,0.25,350,,,,,,,,,False
HCP,0.25,0.75,0.0,350,,,,,,,,,False
HCP,0.0,0.25,0.75,550,,,,,,,,,False
HCP,0.0,0.25,0.75,100,,,,,,,,,False
FCC,0.12,0.38,0.5,350,1.78019125372476,1.78019125372476,1.78019125372476,1.78019125372476,1.78019125372476,1 1 0,-1 1 0,0 0 1,True
DHCP,0.25,0.0,0.75,350,,,,,,,,,False
FCC,0.25,0.5,0.25,100,1.77719668882069,1.77719668882069,1.77719668882069,1.77719668882069,1.77719668882069,1 1 0,-1 1 0,0 0 1,True
FCC,0.25,0.5,0.25,550,1.79009001011871,1.79009001011871,1.79009001011871,1.79009001011871,1.79009001011871,1 1 0,-1 1 0,0 0 1,True
DHCP,0.62,0.12,0.25,550,1.25206458345194,1.0843197364481,4.089242929554,1.16819215995002,4.089242929554,1 1 0,-1 1 0,0 0 1,True
